CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - AUTO,02/26/2025 09:00:00 PM,25-901955,BURGLARY-AUTO,12X,4640 TELEGRAPH AV,Oakland,CA,POINT (-122.2628 37.83388)
STOLEN VEHICLE,03/26/2025 05:00:00 PM,25-013674,VEHICLE THEFT - AUTO,17X,1100 E 20TH ST,Oakland,CA,POINT (-122.2432 37.7952)
VANDALISM,02/23/2025 07:30:00 PM,25-008553,BATTERY,24X,3536 GRAY ST,Oakland,CA,POINT (-122.21464 37.78455)
VANDALISM,03/30/2025 05:00:00 PM,25-014538,VANDALISM (AMENDED),05X,1919 MARKET ST,Oakland,CA,POINT (-122.28007 37.81225)
ROBBERY,02/27/2025 06:15:00 PM,25-009163,BANK ROBBERY,17Y,2300 8TH AV,Oakland,CA,POINT (-122.24288 37.79957)
ROBBERY,02/06/2025 10:20:00 AM,25-005723,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,3200 FOOTHILL BLVD,Oakland,CA,POINT (-122.22251 37.78367)
MISDEMEANOR ASSAULT,02/21/2025 09:56:00 AM,25-008191,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02X,1223 8TH ST,Oakland,CA,POINT (-122.28958 37.80523)
BURG - AUTO,02/08/2025 06:00:00 PM,25-006044,BURGLARY-AUTO,03X,375 9TH ST,Oakland,CA,POINT (-122.27152 37.80016)
,04/05/2025 03:35:00 PM,25-903192,BURGLARY-AUTO,15X,1023 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.23664 37.80511)
RECOVERED O/S STOLEN,02/11/2025 05:00:00 PM,25-006524,VEHICLE THEFT - AUTO,15X,E 17TH ST & 3RD AV,Oakland,CA,POINT (-122.25301 37.79899)
FELONY ASSAULT,03/23/2025 08:21:00 PM,25-013036,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,06X,31ST ST & WEST ST,Oakland,CA,POINT (-122.27331 37.82099)
ROBBERY,02/26/2025 11:30:00 AM,25-008938,ATTEMPTED ROBBERY-FIREARM,35X,9422 MACARTHUR BLVD,Oakland,CA,POINT (-122.16001 37.7527)
MISDEMEANOR ASSAULT,02/28/2025 06:30:00 PM,25-009304,BATTERY,05X,869 W GRAND AV,Oakland,CA,POINT (-122.2776 37.81403)
WEAPONS,01/24/2025 05:39:00 PM,25-003815,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,02Y,300 CENTER ST,Oakland,CA,POINT (-122.29582 37.80275)
MISDEMEANOR ASSAULT,03/07/2025 09:52:00 PM,25-010503,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,1739 70TH AV,Oakland,CA,POINT (-122.18553 37.76294)
BURG - AUTO,02/25/2025 07:56:00 AM,25-008735,BURGLARY-AUTO,04X,1700 SAN PABLO AV,Oakland,CA,POINT (-122.27226 37.80732)
PETTY THEFT,02/03/2025 08:00:00 AM,25-005376,PETTY THEFT:$50-,03X,607 MADISON ST,Oakland,CA,POINT (-122.26737 37.79621)
DISORDERLY CONDUCT,03/24/2025 08:00:00 PM,25-013289,DISTURB THE PEACE,29X,2825 62ND AV,Oakland,CA,POINT (-122.18616 37.77143)
STOLEN VEHICLE,01/28/2025 05:00:00 PM,25-004724,VEHICLE THEFT - AUTO,32X,1814 101ST AV,Oakland,CA,POINT (-122.16378 37.74342)
,04/13/2025 03:05:00 PM,25-903388,BURGLARY-AUTO,,TELEGRAPH AVE,Oakland,CA,
,03/01/2025 07:28:00 AM,25-902890,THEFT BY USE OF ACCESS CARD,,950 SOUTHLAND DRIVE,Oakland,CA,POINT (-122.10725 37.651)
DOMESTIC VIOLENCE,01/23/2025 04:30:00 AM,25-003484,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,2523 MASON ST,Oakland,CA,POINT (-122.1921 37.77221)
OTHER,02/23/2025 10:30:00 PM,25-008559,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,3416 66TH AV,Oakland,CA,POINT (-122.17693 37.77324)
STOLEN VEHICLE,03/05/2025 10:00:00 PM,25-010253,VEHICLE THEFT - AUTO,08X,411 29TH ST,Oakland,CA,POINT (-122.26534 37.81747)
STOLEN VEHICLE,02/27/2025 10:23:00 AM,25-009086,POSS STOLEN VEH/VES/ETC,19X,1600 SOLANO WY,Oakland,CA,POINT (-122.24442 37.78787)
BURG - AUTO,03/02/2025 09:00:00 AM,25-901709,BURGLARY-AUTO,04X,2225 TELEGRAPH AV,Oakland,CA,POINT (-122.26907 37.81158)
BURG - AUTO,01/30/2025 06:40:00 PM,25-901132,BURGLARY-AUTO,12X,4831 CLARKE ST,Oakland,CA,POINT (-122.26135 37.83524)
,03/27/2025 07:45:00 PM,25-903090,BURGLARY-AUTO,19X,5 EMBARCADERO,Oakland,CA,POINT (-122.26841 37.79143)
OTHER,01/30/2025 12:00:00 AM,25-005673,STALKING:TEMPORARY RESTRAINING ORDER/ETC,14X,378 GRAND AV,Oakland,CA,POINT (-122.25472 37.80884)
PETTY THEFT,03/17/2025 07:00:00 AM,25-012218,THEFT,30X,2427 68TH AV,Oakland,CA,POINT (-122.18566 37.76508)
FELONY ASSAULT,03/24/2025 10:10:00 PM,25-013202,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,06X,700 29TH ST,Oakland,CA,POINT (-122.27239 37.81892)
STOLEN AND RECOVERED VEHICLE,01/25/2025 07:00:00 PM,25-903301,ATTEMPT VEHICLE THEFT-AUTO,08X,3093 BROADWAY,Oakland,CA,POINT (-122.2613 37.8203)
GRAND THEFT,02/01/2025 09:00:00 AM,25-008251,GRAND THEFT,10Y,810 61ST ST,Oakland,CA,POINT (-122.27135 37.84598)
PETTY THEFT,03/03/2025 12:00:00 AM,25-009928,THEFT,01X,370 2ND ST,Oakland,CA,POINT (-122.27449 37.79532)
HOMICIDE,02/19/2025 08:00:00 AM,25-007811,SC UNEXPLAINED DEATH,08X,541 28TH ST,Oakland,CA,POINT (-122.26914 37.8174)
DISORDERLY CONDUCT,04/05/2025 06:06:00 PM,25-015208,DISTURB THE PEACE,31Y,9850 EMPIRE RD,Oakland,CA,POINT (-122.19067 37.72954)
FORGERY & COUNTERFEITING,03/10/2025 10:40:00 AM,25-902751,FORGERY,10X,1019 55TH ST,Oakland,CA,POINT (-122.27886 37.83888)
FELONY ASSAULT,04/07/2025 11:33:00 PM,25-015557,POSSESS/BUY/ETC FIREARM W/O IDENTIFICATION MARK,24Y,3635 SUTER ST,Oakland,CA,POINT (-122.20316 37.79019)
FELONY ASSAULT,04/12/2025 01:10:00 AM,25-016256,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,925 89TH AV,Oakland,CA,POINT (-122.18286 37.74687)
PETTY THEFT,03/01/2025 08:35:00 PM,25-902147,THEFT,04X,419 19TH ST,Oakland,CA,POINT (-122.26819 37.80745)
OTHER,02/13/2025 03:20:00 AM,25-006752,EXHIBIT FIREARM,23X,1604 33RD AV,Oakland,CA,POINT (-122.22331 37.7802)
,04/18/2025 03:24:00 PM,25-017242,POSSESS CONTROLLED SUBSTANCE,27Y,7523 RUDSDALE ST,Oakland,CA,POINT (-122.18755 37.75661)
DOMESTIC VIOLENCE,02/16/2025 04:22:00 PM,25-007391,VANDALISM,08X,312 24TH ST,Oakland,CA,POINT (-122.26271 37.81292)
PETTY THEFT,02/01/2025 07:15:00 AM,25-004917,THEFT,26X,400 HIGH ST,Oakland,CA,POINT (-122.2233 37.76596)
HOMICIDE,04/03/2025 12:25:00 PM,25-014866,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,32Y,10029 VOLTAIRE AV,Oakland,CA,POINT (-122.15663 37.74523)
FELONY ASSAULT,01/28/2025 11:30:00 AM,25-004375,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,08X,337 OAKLAND AV,Oakland,CA,POINT (-122.25669 37.81689)
VANDALISM,03/15/2025 02:17:00 PM,25-902245,VANDALISM,04X,2145 BROADWAY,Oakland,CA,POINT (-122.26724 37.81069)
WEAPONS,03/11/2025 04:00:00 PM,25-011117,CARRY CONCEALED WEAPON IN VEHICLE,27X,5324 BELVEDERE ST,Oakland,CA,POINT (-122.19969 37.77297)
NARCOTICS,03/21/2025 09:30:00 AM,25-012674,THEFT,09X,W MACARTHUR BLVD & BROADWAY,Oakland,CA,POINT (-122.25868 37.82437)
ROBBERY,02/28/2025 09:05:00 PM,25-009320,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,25X,3530 MACARTHUR BLVD,Oakland,CA,POINT (-122.20008 37.79344)
FORCIBLE RAPE,01/23/2025 10:00:00 PM,25-004452,EXHIBIT FIREARM,16X,3300 LAKESHORE AV,Oakland,CA,POINT (-122.24411 37.81074)
VANDALISM,02/17/2025 02:00:00 AM,25-007463,VANDALISM-$400+,17X,1300 E 18TH ST,Oakland,CA,POINT (-122.24336 37.7924)
BURG - AUTO,02/26/2025 07:40:00 AM,25-901615,BURGLARY-AUTO,05Y,2101 MANDELA PKWY,Oakland,CA,POINT (-122.29023 37.81562)
DOMESTIC VIOLENCE,03/02/2025 01:21:00 AM,25-009479,PROB VIOL:REAREST/REVOKE,26Y,1343 66TH AV,Oakland,CA,POINT (-122.19373 37.76181)
NARCOTICS,04/10/2025 10:20:00 AM,25-015951,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,02X,100 MYRTLE ST,Oakland,CA,POINT (-122.28545 37.79886)
MISDEMEANOR ASSAULT,02/22/2025 12:30:00 AM,25-008315,BATTERY,32Y,9800 MACARTHUR BLVD,Oakland,CA,POINT (-122.15856 37.74942)
VANDALISM,02/22/2025 10:30:00 PM,25-008610,VANDALISM-$400,26Y,1235 66TH AV,Oakland,CA,POINT (-122.19508 37.76096)
HOMICIDE,01/22/2025 09:01:00 PM,25-003450,MURDER,23X,4240 BANCROFT AV,Oakland,CA,POINT (-122.21397 37.77359)
DUI,01/25/2025 10:50:00 PM,25-004017,DUI ALCOHOL/DRUGS,24X,35TH AV & ALEXANDER CT,Oakland,CA,POINT (-122.21834 37.78295)
PETTY THEFT,02/26/2025 12:00:00 PM,25-009020,THEFT,12X,4169 MANILA AV,Oakland,CA,POINT (-122.25715 37.83054)
DOMESTIC VIOLENCE,01/30/2025 06:02:00 AM,25-004626,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,24Y,3105 HIGH ST,Oakland,CA,POINT (-122.20023 37.78483)
DOMESTIC VIOLENCE,01/21/2025 10:24:00 PM,25-003307,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32X,1428 105TH AV,Oakland,CA,POINT (-122.16621 37.73956)
FELONY ASSAULT,04/03/2025 09:45:00 AM,25-014844,EXHIBIT FIREARM,77X,2400 MAVIS ST,Oakland,CA,POINT (-122.19798 37.77469)
ROBBERY,03/28/2025 09:42:00 PM,25-013872,ROBBERY-FIREARM,30X,7701 KRAUSE AV,Oakland,CA,POINT (-122.17644 37.76233)
ROBBERY,03/12/2025 09:37:00 AM,25-011224,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,3000 E 9TH ST,Oakland,CA,POINT (-122.23069 37.77531)
STOLEN VEHICLE,03/14/2025 03:00:00 PM,25-012676,SC STOLEN VEHICLE - AUTO,99X,6123 THRONHILL DR.,Oakland,CA,POINT (-122.21014 37.83972)
BURG - AUTO,02/09/2025 11:30:00 AM,25-903245,BURGLARY-AUTO,04X,2225 TELEGRAPH AV,Oakland,CA,POINT (-122.26907 37.81158)
FORCIBLE RAPE,01/27/2025 10:00:00 PM,25-015861,RAPE BY FORCE/FEAR/ETC,15X,2137 PARK BLVD,Oakland,CA,POINT (-122.24748 37.80084)
PETTY THEFT,02/13/2025 12:33:00 PM,25-006817,THEFT,23X,4000 ALAMEDA AV,Oakland,CA,POINT (-122.22341 37.76931)
OTHER,03/31/2025 08:00:00 PM,25-015045,PANDERING,19X,E 15TH ST & 7TH AV,Oakland,CA,POINT (-122.25125 37.79493)
PETTY THEFT,02/21/2025 09:56:00 AM,25-008190,THEFT,27Y,1641 64TH AV,Oakland,CA,POINT (-122.19455 37.76382)
MISDEMEANOR ASSAULT,04/11/2025 10:40:00 PM,25-016246,BATTERY,04X,1700 BROADWAY,Oakland,CA,POINT (-122.26965 37.80679)
,03/22/2025 04:30:00 PM,25-902608,BURGLARY-NO FORCE,19X,1815 FOOTHILL BOULEVARD,Oakland,CA,POINT (-122.24011 37.7885)
MISDEMEANOR ASSAULT,02/07/2025 05:15:00 PM,25-005897,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24Y,4016 FULLINGTON ST,Oakland,CA,POINT (-122.20009 37.78819)
PETTY THEFT,02/10/2025 08:15:00 PM,25-902116,THEFT,19X,19TH AV & GLEASON WY,Oakland,CA,POINT (-122.23982 37.78771)
BURG - AUTO,01/28/2025 09:02:00 PM,25-004438,BURGLARY-AUTO,01X,336 WATER ST,Oakland,CA,POINT (-122.27605 37.79425)
STOLEN VEHICLE,02/06/2025 08:00:00 PM,25-005817,VEHICLE THEFT - AUTO,15X,2303 PARK BLVD,Oakland,CA,POINT (-122.24502 37.80169)
FELONY ASSAULT,02/22/2025 11:48:00 PM,25-008439,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,9615 OLIVE ST,Oakland,CA,POINT (-122.16478 37.74847)
VANDALISM,03/26/2025 12:05:00 PM,25-013495,VANDALISM-$400,30X,6921 FRESNO ST,Oakland,CA,POINT (-122.18119 37.76604)
VANDALISM,03/07/2025 01:00:00 PM,25-010432,VANDALISM-$400+,07X,2341 SAN PABLO AV,Oakland,CA,POINT (-122.27453 37.81424)
BURG - COMMERCIAL,03/27/2025 04:26:00 PM,25-013929,BURGLARY-FORCIBLE ENTRY,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.21205 37.76055)
BURG - OTHER,02/02/2025 08:00:00 AM,25-005021,SC BURGLARY - FORCE,25X,CALAVARAS AV & MOUNTAIN BLVD,Oakland,CA,
PETTY THEFT,02/25/2025 06:21:00 PM,25-008837,THEFT,12Y,SHAFTER AV & HUDSON ST,Oakland,CA,
RECOVERED O/S STOLEN,04/14/2025 08:45:00 PM,25-016744,VEHICLE THEFT - AUTO,29X,6031 MONADNOCK WY,Oakland,CA,POINT (-122.18195 37.7762)
BURG - AUTO,02/25/2025 09:00:00 PM,25-901993,BURGLARY-AUTO,03Y,1001 BROADWAY,Oakland,CA,POINT (-122.27297 37.80224)
CURFEW & LOITERING,02/24/2025 08:27:00 PM,25-008802,TRESPASS:OCCUPY PROPERTY W/O CONSENT,31X,7000 COLISEUM WY,Oakland,CA,POINT (-122.20089 37.74707)
MISDEMEANOR ASSAULT,03/22/2025 04:45:00 PM,25-012881,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,34X,1627 94TH AV,Oakland,CA,POINT (-122.16976 37.74849)
DUI,02/16/2025 02:33:00 AM,25-007295,DUI ALCOHOL/DRUGS,30X,7801 HOLLY ST,Oakland,CA,POINT (-122.18004 37.75955)
PETTY THEFT,03/14/2025 02:39:00 PM,25-011800,THEFT,11X,627 51ST ST,Oakland,CA,POINT (-122.26476 37.83683)
DOMESTIC VIOLENCE,03/15/2025 01:29:00 PM,25-011826,WILLFUL CRUELTY TO CHILD,02X,1050 7TH ST,Oakland,CA,POINT (-122.28637 37.80378)
PETTY THEFT,02/01/2025 07:00:00 AM,25-007062,THEFT,30X,2349 MAYWOOD AV,Oakland,CA,POINT (-122.17726 37.76347)
DISORDERLY CONDUCT,03/21/2025 02:50:00 PM,25-012719,DISTURB THE PEACE,30Y,6900 BANCROFT AV,Oakland,CA,POINT (-122.17915 37.76818)
FELONY WARRANT,01/24/2025 11:54:00 PM,25-003857,VIOLATION OF PROBATION-FELONY,19X,1518 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.24476 37.78869)
STOLEN VEHICLE,04/05/2025 11:00:00 PM,25-015300,VEHICLE THEFT - AUTO,03Y,698 8TH ST,Oakland,CA,POINT (-122.27924 37.80239)
STOLEN VEHICLE,02/06/2025 06:00:00 PM,25-005831,VEHICLE THEFT - AUTO,02Y,725 HENRY ST,Oakland,CA,POINT (-122.29691 37.80613)
NARCOTICS,02/13/2025 05:53:00 PM,25-006859,SELL/FURNISH/ETC MARIJUANA/HASHISH,35Y,9430 MOUNTAIN BLVD,Oakland,CA,POINT (-122.14744 37.75867)
THREATS,03/23/2025 12:10:00 PM,25-012989,INDECENT EXPOSURE,09X,4102 BROADWAY,Oakland,CA,POINT (-122.25568 37.82852)
OTHER,02/13/2025 07:40:00 AM,25-006767,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,25X,3516 MACARTHUR BLVD,Oakland,CA,POINT (-122.20002 37.79347)
PETTY THEFT,02/13/2025 12:00:00 AM,25-006844,THEFT,12Y,438 60TH ST,Oakland,CA,POINT (-122.2584 37.84682)
STOLEN VEHICLE,02/26/2025 08:00:00 AM,25-009003,VEHICLE THEFT - AUTO,01X,101 WASHINGTON ST,Oakland,CA,POINT (-122.2779 37.79602)
NARCOTICS,04/07/2025 12:00:00 AM,25-015374,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,30X,8000 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.18122 37.75639)
BURG - RESIDENTIAL,01/27/2025 01:25:00 AM,25-900902,BURGLARY-NO FORCE,06X,926 37TH ST,Oakland,CA,POINT (-122.27566 37.82728)
OTHER SEX OFFENSES,04/14/2025 09:00:00 PM,25-016873,290 VIOLATION AFTER INCARCERATION,06X,749 37TH ST,Oakland,CA,POINT (-122.27164 37.82666)
FORCIBLE RAPE,01/30/2025 05:00:00 AM,25-004695,SEXUAL PENETRATION W/FOREIGN OBJECT W/FORCE,19X,17TH AV & FOOTHILL BLVD,Oakland,CA,POINT (-122.24156 37.78937)
ROBBERY,01/29/2025 11:30:00 AM,25-004520,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,1000 HARRISON ST,Oakland,CA,POINT (-122.26925 37.80027)
FORCIBLE RAPE,02/08/2025 03:00:00 AM,25-006030,RAPE:VICTIM INCAPABLE OF GIVING CONSENT,04X,381 15TH ST,Oakland,CA,POINT (-122.269 37.8047)
OTHER,01/24/2025 02:53:00 PM,25-003803,POSS STOLEN VEH/VES/ETC,31Z,9800 BERNHARDT DR,Oakland,CA,POINT (-122.1868 37.73196)
MISDEMEANOR ASSAULT,04/09/2025 11:00:00 AM,25-015826,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35Y,3029 BROADMOOR VIEW,Oakland,CA,POINT (-122.14576 37.74638)
NARCOTICS,02/14/2025 09:15:00 AM,25-007021,POSSESS/ETC FOR SALE/ETC CIGARETTES W/O STAMP/ETC,27X,5483 FOOTHILL BLVD,Oakland,CA,POINT (-122.19639 37.77261)
KIDNAPPING,03/10/2025 04:41:00 PM,25-010967,INFLICT CRPL INJ SP/COHAB,20X,1021 CALCOT PL,Oakland,CA,POINT (-122.23798 37.78042)
NARCOTICS,03/19/2025 06:40:00 PM,25-012456,POSSESS/ETC BURGLARY TOOLS,32X,10200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16829 37.7414)
THREATS,02/21/2025 06:38:00 PM,25-008274,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,19X,506 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.25326 37.7957)
DISORDERLY CONDUCT,03/17/2025 10:30:00 AM,25-012536,FIGHT/CHALLENGE IN PUBLIC PLACE,09X,4030 PANAMA CT,Oakland,CA,POINT (-122.25158 37.8246)
MISDEMEANOR ASSAULT,02/27/2025 08:16:00 AM,25-009079,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,19X,E 11TH ST & 23RD AV,Oakland,CA,POINT (-122.23702 37.78011)
,03/20/2025 02:19:00 PM,25-902551,THEFT,02Y,1741 12TH ST,Oakland,CA,POINT (-122.29839 37.8116)
DISORDERLY CONDUCT,03/19/2025 07:37:00 AM,25-012380,DISTURB THE PEACE,04X,415 15TH ST,Oakland,CA,POINT (-122.26983 37.805)
PETTY THEFT,03/08/2025 11:00:00 PM,25-013427,PETTY THEFT:$50-,19X,1130 3RD AV,Oakland,CA,POINT (-122.25679 37.79583)
THREATS,01/21/2025 04:00:00 PM,25-003281,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,08X,2421 TELEGRAPH AV,Oakland,CA,POINT (-122.26852 37.81372)
VANDALISM,02/13/2025 05:30:00 PM,25-007010,VANDALISM [UNDER $400],11X,6166 SHATTUCK AV,Oakland,CA,POINT (-122.26548 37.8476)
ROBBERY,03/22/2025 08:02:00 PM,25-012901,ROBBERY-FIREARM,23X,4108 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.21636 37.77357)
PETTY THEFT,02/17/2025 11:00:00 AM,25-008100,THEFT,17Y,525 E 21ST ST,Oakland,CA,POINT (-122.24691 37.79995)
RECOVERED O/S STOLEN,03/18/2025 03:35:00 PM,25-012277,VEHICLE THEFT - AUTO,33X,9731 C ST,Oakland,CA,POINT (-122.17511 37.74279)
BURG - RESIDENTIAL,03/16/2025 05:14:00 PM,25-011971,VANDALISM [UNDER $400],19X,1414 16TH AV,Oakland,CA,POINT (-122.24387 37.78865)
STOLEN VEHICLE,01/28/2025 08:55:00 PM,25-004489,VEHICLE THEFT - AUTO,02Y,1453 5TH ST,Oakland,CA,POINT (-122.29555 37.80415)
VANDALISM,03/23/2025 09:00:00 PM,25-013052,VANDALISM (AMENDED),24X,2041 36TH AV,Oakland,CA,POINT (-122.21612 37.78257)
,03/17/2025 02:15:00 PM,25-902959,GRAND THEFT,33X,8000 SAN LEANDRO ST,Oakland,CA,POINT (-122.19224 37.74966)
BURG - AUTO,03/02/2025 01:30:00 PM,25-901984,BURGLARY-AUTO,08X,2302 VALDEZ ST,Oakland,CA,POINT (-122.26398 37.81257)
GRAND THEFT,02/08/2025 02:24:00 AM,24-005950,GRAND THEFT,34X,2100 94TH AVE,Oakland,CA,POINT (-122.16483 37.75081)
PETTY THEFT,02/26/2025 12:00:00 AM,25-008930,THEFT,07X,2730 ADELINE ST,Oakland,CA,POINT (-122.28237 37.81993)
BURG - RESIDENTIAL,03/08/2025 04:31:00 PM,25-902298,BURGLARY-NO FORCE,31Y,8855 SAN LEANDRO ST,Oakland,CA,POINT (-122.18819 37.74495)
BURG - RESIDENTIAL,03/26/2025 12:40:00 PM,25-013481,ATTEMPTED BURGLARY,22X,2612 MONTANA ST,Oakland,CA,POINT (-122.21306 37.79771)
ROBBERY,03/27/2025 04:30:00 AM,25-013692,CARJACKING WITH FIREARM,77X,9700 98TH AV,Oakland,CA,
STOLEN VEHICLE,03/26/2025 06:00:00 PM,25-013822,VEHICLE THEFT - AUTO,01X,5 EMBARCADERO WEST,Oakland,CA,POINT (-122.26848 37.79208)
MISDEMEANOR ASSAULT,04/13/2025 06:00:00 PM,25-016489,BATTERY,32X,10121 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16963 37.74172)
,03/29/2025 11:35:00 PM,25-903025,BURGLARY-AUTO,13Z,7028 SHIRLEY DRIVE,Oakland,CA,POINT (-122.18718 37.82922)
NARCOTICS,01/30/2025 07:00:00 PM,25-004822,VANDALISM:DEFACE PROPERTY,32X,1522 98TH AV,Oakland,CA,POINT (-122.16877 37.7452)
BURG - RESIDENTIAL,03/08/2025 04:40:00 AM,25-902341,BURGLARY-NO FORCE,13Z,6861 GUNN DR,Oakland,CA,POINT (-122.19202 37.83514)
PETTY THEFT,02/13/2025 02:32:00 PM,25-901536,THEFT,14Y,3277 LAKESHORE AV,Oakland,CA,POINT (-122.2445 37.8106)
STOLEN VEHICLE,03/24/2025 01:30:00 PM,25-013259,VEHICLE THEFT - AUTO,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.21205 37.76055)
MISDEMEANOR ASSAULT,03/18/2025 11:41:00 PM,25-012337,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,07X,2601 WOOD ST,Oakland,CA,POINT (-122.29092 37.82195)
FORCIBLE RAPE,04/10/2025 05:00:00 PM,25-016100,RAPE BY FORCE/FEAR/ETC,08X,2623 TELEGRAPH AV,Oakland,CA,POINT (-122.26806 37.81562)
PETTY THEFT,02/11/2025 12:00:00 AM,25-006610,THEFT,07X,2579 SAN PABLO AV,Oakland,CA,POINT (-122.27567 37.81686)
MISDEMEANOR ASSAULT,03/04/2025 11:00:00 AM,25-010181,BATTERY,04X,625 16TH ST,Oakland,CA,POINT (-122.2748 37.80739)
STOLEN AND RECOVERED VEHICLE,03/16/2025 05:13:00 AM,25-011917,VEHICLE THEFT - AUTO,12X,550 40TH ST,Oakland,CA,POINT (-122.26589 37.82938)
MISDEMEANOR ASSAULT,04/13/2025 07:00:00 AM,25-016478,BATTERY,03X,9TH ST & BROADWAY,Oakland,CA,POINT (-122.27334 37.80087)
BURG - AUTO,03/20/2025 09:00:00 PM,25-902425,BURGLARY-AUTO,12Y,5655 COLLEGE AV,Oakland,CA,POINT (-122.25171 37.84392)
THREATS,03/17/2025 03:00:00 AM,25-012656,THREAT CRIME:INT:TERRORIZE,34X,9311 OLIVE ST,Oakland,CA,POINT (-122.16656 37.75085)
NARCOTICS,04/11/2025 05:47:00 PM,25-016190,CARRY CONCEALED WEAPON ON PERSON,17Y,1382 E 31ST ST,Oakland,CA,POINT (-122.23219 37.79942)
WEAPONS,01/27/2025 07:45:00 PM,25-004272,CARRY CONCEALED WEAPON IN VEHICLE,32X,10211 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16804 37.74108)
MISDEMEANOR ASSAULT,04/16/2025 11:40:00 PM,25-016992,BATTERY,19X,389 9TH AV,Oakland,CA,POINT (-122.25507 37.78784)
DISORDERLY CONDUCT,02/22/2025 07:00:00 PM,25-008422,DISTURB THE PEACE,24X,2253 38TH AV,Oakland,CA,POINT (-122.2111 37.78294)
MISDEMEANOR ASSAULT,01/22/2025 04:00:00 PM,25-003915,BATTERY,11X,641 63RD ST,Oakland,CA,POINT (-122.26699 37.84857)
GRAND THEFT,03/08/2025 10:30:00 PM,25-010693,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10Y,5667 GENOA ST,Oakland,CA,POINT (-122.27214 37.84158)
STOLEN VEHICLE,03/23/2025 10:30:00 PM,25-013071,VEHICLE THEFT - AUTO,27Y,6200 BROMLEY AV,Oakland,CA,POINT (-122.19424 37.76585)
RECOVERED O/S STOLEN,03/04/2025 04:00:00 PM,25-010252,VEHICLE THEFT - AUTO,33X,957 90TH AV,Oakland,CA,POINT (-122.18178 37.74632)
THREATS,03/21/2025 11:22:00 AM,25-013645,THREAT CRIME:INT:TERRORIZE,30Y,7200 BANCROFT AV,Oakland,CA,POINT (-122.17847 37.76735)
DOMESTIC VIOLENCE,03/30/2025 06:30:00 PM,25-014126,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,15X,1600 3RD AV,Oakland,CA,POINT (-122.25342 37.79869)
STOLEN VEHICLE,01/26/2025 03:03:00 PM,25-004086,VEHICLE THEFT - AUTO,19X,5TH AV & E 8TH ST,Oakland,CA,POINT (-122.2581 37.79269)
WEAPONS,03/07/2025 04:11:00 PM,25-010468,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,08X,2700 TELEGRAPH AV,Oakland,CA,POINT (-122.26788 37.8163)
WEAPONS,04/14/2025 11:00:00 PM,25-016685,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,30X,1400 77TH AV,Oakland,CA,POINT (-122.18427 37.758)
